Word,Definition,Example 1,Example 2
device,an object or machine that has been invented for a particular purpose,a contraceptive/electronic device,device for Rescuers used a special device for finding people trapped in collapsed buildings.
devised,past simple and past participle of,,
devis,He's good at devising language games that you can play with students in class.,The cartoon characters Snoopy and Charlie Brown were devised by Charles M. Schultz.,
diagnostics,identifying a particular illness using a combination of signs and symptoms,a diagnostic test,Jaundice is diagnostic of liver failure.
dialect,"a form of a language that people speak in a particular part of a country, containing some different words and grammar, etc.",regional dialect The various regional dialects are still spoken locally.,in dialect The poem is written in northern dialect.
dialogue,"conversation that is written for a book, play, or film",The play contained some very snappy/witty dialogue.,dialogue between Act Two begins with a short dialogue between father and son.
diameter,"(the length of) a straight line that reaches from one point on the edge of a round shape or object, through its centre, to a point on the opposite edge",The diameter measures twice the radius.,in diameter The pond is six feet in diameter.
dictionary,"a book that contains a list of words in alphabetical order and explains their meanings, or gives a word for them in another language; an electronic product giving similar information on a computer, smartphone, etc.",a French-English/English-French dictionary,a bilingual/monolingual dictionary
differentiate,to show or find the difference between things that are compared,"differentiate between We do not differentiate between our employees on the basis of their race, religion, or national origin.",differentiate something from something Most consumers have no trouble differentiating our brand's cereal from our leading competitor's.
digital monitor,,,
dinghy sailing,,,
dining room,a room in which meals are eate,,
diploma,a qualification given by a college or university to show that you have passed a particular exam or finished your studies,diploma in a diploma in business studies,US a high school diploma
disappointed,"unhappy because someone or something was not as good as you hoped or expected, or because something did not happen",deeply disappointed We felt deeply disappointed when we heard the news.,disappointed about I was so disappointed about her decision not to come.
disaster,"(an event that results in) great harm, damage, or death, or serious difficulty",An inquiry was ordered into the recent rail disaster (= a serious train accident).,disaster for It would be a disaster for me if I lost my job.
discuss,to talk about a subject with someone and tell each other your ideas or opinions,discuss something with someone The police want to discuss these recent racist attacks with local people.,The later chapters discuss the effects on the environment.
disease,"(an) illness of people, animals, plants, etc., caused by infection or a failure of health rather than by an accident",a contagious/infectious disease,a common/rare/incurable/fatal disease
disk,"a flat, circular device that is used for storing information",Put the disk into the drive.,I saved the photos onto a disk for you.
display,to arrange something or a collection of things so that it can be seen by the public,Family photographs were displayed on the wall.,My grandfather disapproved of displaying emotion in public.
Disproportionate,"too large or too small in comparison to something else, or not deserving its importance or influence",disproportionate number There are a disproportionate number of girls in the class.,disproportionate to The country's great influence in the world is disproportionate to its relatively small size.
disrupt,"to prevent something, especially a system, process, or event, from continuing as usual or as expected",Heavy snow disrupted travel into the city this morning.,The meeting was disrupted by a group of protesters who shouted and threw fruit at the speaker.
dissemination,"the act of spreading news, information, ideas, etc. to a lot of people",the dissemination of information,Anything that stands in the way of the dissemination of knowledge is a real problem.
dissertation,"a long piece of writing on a particular subject, especially one that is done in order to receive a degree at college or university",dissertation on Ann did her dissertation on Baudelaire.,
distinct,clearly noticeable; that certainly exists,There's a distinct smell of cigarettes in here.,distinct possibility There's a distinct possibility that I'll be asked to give a speech.
distraction,the state of being very bored or annoyed,to distraction His lessons bore me to distraction.,drive someone to distraction That dreadful noise is driving me to distraction.
distribution costs,,,
dome,"a rounded roof on a building or a room, or a building with such a roo",Gerald had a long grey beard and a shiny bald dome (= head).,The dome of city hall could be seen in the distance.
donate,to give money or goods to help a person or organization,donate something to someone/something An anonymous businesswoman donated one million pounds to the charity.,Please donate generously.
dormitory,"a large room containing many beds, for example in a boarding schoo",We were determined to build not just dormitories but communities.,
double-decker bus,,,
drawback,a disadvantage or the negative part of a situation,drawback of One of the drawbacks of living with someone is having to share a bathroom.,"There were a few drawbacks, but they were easy to fix."
driving license,,,
drought,a long period when there is little or no rain,This year (a) severe drought has ruined the crops.,
dry,"used to describe something that has no water or other liquid in, on, or around it","I hung his wet trousers on the radiator, but they're not dry yet.",dry soil These plants grow well in dry soil
dull,not interesting or exciting in any way,"She wrote dull, respectable articles for the local newspaper.","deadly dull He's pleasant enough, but deadly dull."
duplex,a set of rooms for living in that are on two floors of a buildin,"Last year the average single-family house in the neighborhood was valued at $30,095 and the average duplex at $45,964.",
dusty,covered in dust,Piles of dusty books lay on the floor.,We drove along the dusty road.
duty-free store,"a store, for example, in an airport, that sells goods without charging the tax that would normally be added to their price",The company runs duty-free shops at airports throughout south-east Asia.,
earthquake,"a sudden violent movement of the earth's surface, sometimes causing great damage",In 1906 an earthquake destroyed much of San Francisco.,
economics,"the way in which trade, industry, or money is organized, or the study of this","Their ideas sound fine in principle, but they haven't worked out the economics behind the policies.",She's in her third year of studying economics at York University.
edit,"to make changes to a text or film, deciding what will be removed and what will be kept in, in order to prepare it for being printed or shown",Janet edited books for a variety of publishers.,be edited down The movie's 129 minutes were edited down from 150 hours of footage.
efficient,working or operating quickly and effectively in an organized way,The city's transport system is one of the most efficient in Europe.,We need someone really efficient who can organize the office and make it run smoothly.
effort,physical or mental activity needed to achieve something,[ + to infinitive ] If we could all make an effort to keep this office tidier it would help.,make the effort You can't expect to have any friends if you don't make the effort with people.
egg yolk,the yellow part of an eg,,
eggs,"the oval object with a hard shell that is produced by female birds, especially chickens, sometimes eaten as food",How do you like your eggs - fried or boiled?,soft-boiled egg
Egypt,a country in North Afric,,
eligible,having the necessary qualities or satisfying the necessary conditions,eligible for Are you eligible for early retirement/maternity leave?,You might be eligible for a grant.
embarrass,"to cause someone to feel nervous, worried, or uncomfortable",You're embarrassing him with your compliments!,I didn't want to embarrass her in front of her friends.
embassy,the group of people who represent their country in a foreign country,at the embassy We used to be friendly with some people who worked at the Swedish Embassy.,The Ambassador held a reception at the embassy.
embrace,"to hold someone tightly with both arms to express love, liking, or sympathy, or when greeting or leaving someone",She saw them embrace on the station platform.,He leaned over to embrace the child.
embroidery,patterns or pictures that consist of stitches sewn directly onto cloth,Let me show you Pat's embroideries.,It was a beautiful piece of embroidery.
emphasis,the particular importance or attention that is given to something,emphasis on I think we should put as much emphasis on preventing disease as we do on curing it.,put/place/lay emphasis on Schools here put/place/lay great emphasis on written work and grammar.
employee,someone who is paid to work for someone else,The number of employees in the company has trebled over the past decade.,She's a former state employee/employee of the state.
employer,a person or organization that employs people,We need a reference from your former employer.,The Air Force is the largest employer in this area.
employment,the fact of someone being paid to work for a company or organization,Employment levels are unlikely to rise significantly before the end of next year.,How long have you been looking for employment?
encountered,past simple and past participle of,,
encounte,On their way home they encountered a woman selling flowers.,When did you first encounter these difficulties?,
encyclopedia,"a book or set of books containing many articles arranged in alphabetical order that deal either with the whole of human knowledge or with a particular part of it, or a similar set of articles on the internet",The Cambridge Encyclopedia of Language,"The library was full of dictionaries, encyclopaedias, poetry, and plays."
endowed,past simple and past participle of,,
endo,The state of Michigan has endowed three institutes to do research for industry.,This hospital was endowed by the citizens of Strasbourg in the 16th century.,
energetic,having or involving a lot of energy,an energetic young woman,I tried aerobics but it was too energetic for me.
enforcing,present participle of,,
enforc,It isn't always easy for the police to enforce speed limits.,The new teacher had failed to enforce any sort of discipline.,
engineer,"a person whose job is to design or build machines, engines, or electrical equipment, or things such as roads, railways, or bridges, using scientific principles",a civil engineer,a mechanical/structural engineer
England,a country that is part of the United Kingdo,,
enormous,extremely large,an enormous car/house,He earns an enormous salary.
enterprising,"good at thinking of and doing new and difficult things, especially things that will make money",The business was started by a couple of enterprising young women.,"enterprising of That was very enterprising of you, Vijay!"
entertainment industry,,,
Enthusiasts,a person who is very interested in and involved with a particular subject or activity,a keep-fit enthusiast,a model-aircraft enthusiast
entrance,"a door, gate, etc. by which you can enter a building or place",There are two entrances - one at the front and one around the back.,make an entrance He makes a spectacular entrance in act two draped in a gold sheet.
entrepreneur,"someone who starts their own business, especially when this involves seeing a new opportunity",He was one of the entrepreneurs of the 80s who made their money in property.,He’s an entrepreneur who made his money in computer software.
environment,"the air, water, and land in or on which people, animals, and plants live",Certain chemicals have been banned because of their damaging effect on the environment.,We're not doing enough to protect the environment from pollution.
environmentally friendly,"not harmful to the environment, or trying to help the environment",We will use environmentally friendly energy sources.,There is no charge for vehicles that are environmentally friendly.
equate,to consider one thing to be the same as or equal to another thing,equate something with something He complained that there was a tendency to equate right-wing politics with self-interest.,People sometimes equate money with happiness.
equipment,"the set of necessary tools, clothing, etc. for a particular purpose",office/camping/kitchen equipment,electrical equipment
eradicated,past simple and past participle of,,
eradicat,The government claims to be doing all it can to eradicate corruption.,The disease that once claimed millions of lives has now been eradicated.,
erosion,"a process in which soil, stone, etc. is gradually damaged and removed by the waves, rain, or wind, or the result of this action",coastal erosion The figures do not take account of environmental losses such as coastal erosion.,soil erosion The landscape is marked by gullies and ravines formed by soil erosion.
establish,to start a company or organization that will continue for a long time,The brewery was established in 1822.,These methods of working were established in the last century.
estimate,"to guess or calculate the cost, size, value, etc. of something",Government sources estimate a long-term 50 percent increase in rail fares.,They estimate (that) the journey will take at least two weeks.
Europe,"the continent that is to the east of the Atlantic Ocean, to the north of the Mediterranean, and to the west of Asi",Discount airlines in Europe are buying lots of new planes.,The party's position on Europe remains in question.
eventual,"happening or existing at a later time or at the end, especially after a lot of effort, problems, etc.",The Dukes were the eventual winners of the competition.,"Although the original budget for the project was $1 billion, the eventual cost is likely to be 50 percent higher."
evidence,"facts, information, documents, etc. that give reason to believe that something is true",[ + to infinitive ] There is no scientific evidence to suggest that underwater births are dangerous.,[ + that ] Is there any scientific evidence that a person's character is reflected in their handwriting?
evident,easily seen or understood,The full extent of the damage only became evident the following morning.,From the smell it was evident that the drains had been blocked for several days.
evolution,the way in which populations of living things change and develop over time,Darwin's theory of evolution,the evolution of language
evolving,present participle of,,
evolv,evolve from Did humans evolve from apes?,evolve into The company has evolved over the years into a multi-million dollar organization.,
exaggerate,"to make something seem larger, more important, better, or worse than it really is",be greatly exaggerated The threat of attack has been greatly exaggerated.,Don't exaggerate - it wasn't that expensive.
excitatory,,,
exciting,making you feel excited,an exciting movie/soundtrack,You're going to Africa? How exciting!
exclusive,limited to only one person or group of people,exclusive use This room is for the exclusive use of guests.,exclusive interview He gave an exclusive interview to the Times from his home in California.
excursions,"a short journey usually made for pleasure, often by a group of people",excursion to This year's annual excursion will be to Lincoln.,go on an excursion Next week we're going on an excursion.
exhaust fumes,,,
exhibit,to show something publicly,He frequently exhibits at the art gallery.,In the summer the academy will exhibit several prints that are rarely seen.
exhibition,"an event at which objects such as paintings are shown to the public, or the act of showing these things",exhibition of There's a new exhibition of sculpture on at the city gallery.,Crowds of people flocked to see the Picasso exhibition.
exotic,"unusual and exciting because of coming (or seeming to come) from far away, especially a tropical country",exotic flowers/food/designs,"Before you call someone ""exotic"" as a compliment, you should know that the word can be offensive, because it suggests that you think that person is very different from you."
expectancy,the feeling that something exciting or pleasant is going to happen,air of expectancy There was a general air of expectancy in the crowd.,The voyage opened on a note of excitement and expectancy.
expedition,an organized journey for a particular purpose,go on an expedition We're going on a shopping expedition on Saturday.,on an expedition Scott died while he was on an expedition to the Antarctic in 1912.
expenditure,the total amount of money that a government or person spends,It's part of a drive to cut government expenditure.,expenditure on The government's annual expenditure on arms has been reduced.
expensive,costing a lot of money,Rolls Royces are very expensive.,be expensive to Big houses are expensive to maintain.
experience,"(the process of getting) knowledge or skill from doing, seeing, or feeling things",experience of Do you have any experience of working with kids? (= Have you ever worked with them?),experience in Do you have any experience in working with kids? (= Have you ever worked with them?)
experiment,a test done in order to learn something or to discover if something works or is true,experiment on Some people believe that experiments on animals should be banned.,experiment to She went there as part of an experiment to learn more about the ways extreme cold affects the body.
explicit,clear and exact,I gave her very explicit directions how to get here.,explicit about She was very explicit about (= said very clearly and exactly) what she thought was wrong with the plans.
exploit,to use something in a way that helps you,exploit resources We need to make sure that we exploit our resources as fully as possible.,Laws exist to stop companies exploiting their employees.
exposed,having no protection from bad weather,exposed position The house is in a very exposed position.,The site has easy access but is very exposed and should be avoided in high winds.
extensive,covering a large area; having a great range,extensive grounds a school with extensive grounds,extensive repairs extensive repairs to the motorway
exterior,on or from the outside,In some of the villages the exterior walls of the houses are painted pink.,exterior to Exterior to the main house there is a small building that could be used as an office or studio.
extinct,not now existing,become extinct There is concern that the giant panda will soon become extinct.,Many tribes became extinct when they came into contact with Western illnesses.
extra background,,,
extreme sports,"a sport that is very dangerous and exciting, for example, skydiving or bungee jumping","There is an element of risk involved in skateboarding, as in other extreme sports.",The popularity of extreme sports pushed athletes to take on harder runs.
extremely,very,They played extremely well.,She's extremely beautiful.
extroverted,an energetic person who enjoys being with other people,Most sales people are extroverts.,an extrovert personality
fabric,"cloth or material for making clothes, covering furniture, etc.",dress fabric,seats upholstered in red fabric
fabulous,very good; excellent,absolutely fabulous She looked absolutely fabulous in her dress.,They've got a fabulous apartment in the centre of Paris.
facilities,"the buildings, equipment, and services provided for a particular purpose",shopping facilities,medical facilities
facilities,"the buildings, equipment, and services provided for a particular purpose",shopping facilities,medical facilities
facilities and amenities,,,
faculty,"a natural ability to hear, see, think, move, etc.","have all your faculties Even at the age of 100, she still had all her faculties.","in possession of your faculties We need to consider how to care for elderly people who are not in full possession of their faculties (= able to hear, speak, see, and think clearly)."
family,"a group of people who are related to each other, such as a mother, a father, and their children",A new family has/have moved in next door.,I come from a large family - I have three brothers and two sisters.
family finances,,,
fantastic,extremely good,look fantastic You look fantastic in that dress.,We had a fantastic time.
farewell,goodby,say your farewells We said our sad farewells and got on the bus.,sad farewell Hundreds of mourners were there to bid a sad farewell to the star.
fatality,"a death caused by an accident or by violence, or someone who has died in either of these ways",There are thousands of traffic fatalities (= deaths in traffic accidents) every year.,The first fatalities of the war were civilians.
feather,"one of the many soft, light things that cover a bird's body, consisting of a long, thin, central part with material like hairs along each side",peacock/ostrich feathers,feather pillow I like to sleep on a firm mattress with feather pillows (= those containing feathers).
February,"the second month of the year, after January and before March",in February Construction is expected to start in February.,I was born on 5 February.
fed up,"bored, annoyed, or disappointed, especially by something that you have experienced for too long",fed up with I'm fed up with my job.,get fed up He got fed up with all the travelling he had to do.
feedback,"information or statements of opinion about something, such as a new product, that can tell you if it is successful or liked",have feedback from Have you had any feedback from customers about the new soap?,positive/negative feedback
ferry,"a boat or ship for taking passengers and often vehicles across an area of water, especially as a regular service",a car ferry,by ferry We're going to the Channel Islands by ferry.
fertilizer,"a natural or chemical substance that is spread on the land or given to plants, to make plants grow well",organic fertilizer,a liquid/chemical fertilizer
festival,"a special day or period, usually in memory of a religious event, with its own social activities, food, or ceremonies",celebrate a festival We invite scores of people to our home to celebrate the harvest festival of Sukkot.,Jewish festival
fiberglass,US spelling of,,
fibreglas,,,
field,"an area of land, used for growing crops or keeping animals, usually surrounded by a fence",We drove past fields of ripening wheat.,The cows were all standing in one corner of the field.
field,"an area of land, used for growing crops or keeping animals, usually surrounded by a fence",We drove past fields of ripening wheat.,The cows were all standing in one corner of the field.
Filipino,a person from the Philippine,,
finance,(the management of) a supply of money,corporate/personal/public finance,the minister of finance/the finance minister
firewood,wood used as fuel for a fire,We can use those old shelves as firewood.,
fish,"an animal that lives in water, is covered with scales, and breathes by taking water in through its mouth, or the flesh of these animals eaten as food",Several large fish live in the pond.,catch a fish Sanjay caught the biggest fish I've ever seen.
flexible,able to change or be changed easily according to the situation,My schedule is flexible - I could arrange to meet with you any day next week.,Rubber is a flexible substance.
flight attendant,someone who serves passengers on an aircraf,The airline's flight attendants are trained to limit the number of drinks passengers receive on board.,
flood,"to cause to fill or become covered with water, especially in a way that causes problems",Our washing machine broke down yesterday and flooded the kitchen.,The whole town flooded when the river burst its banks.
flower,"the part of a plant that is often brightly coloured and has a pleasant smell, or the type of plant that produces these",wild flowers,to pick flowers
flyers,mainly US spelling of,,
flye,They handed out fliers asking you to vote for Jane Schumacker.,,
food pyramid,,,
footbridge,a narrow bridge that is only used by people who are walkin,,
foreign students,,,
forest,"a large area of land covered with trees and plants, usually larger than a wood, or the trees and plants themselves",The campsite is set in the middle of a pine forest.,the forests of She has trekked through the forests of Borneo.
forklift truck,a small vehicle with two strong bars of metal attached to the front that are used for lifting piles of good,,
fort,"a military building designed to be defended from attack, consisting of an area surrounded by a strong wall, in which soldiers are based",The remains of the Roman fort are well preserved.,
fortnight,a period of two weeks,a fortnight's holiday,once a fortnight
fossil fuels,"fuels, such as gas, coal, and oil, that were formed underground from plant and animal remains millions of years ag",,
France,a country in western Europ,,
freelance,"doing particular pieces of work for different organizations, rather than working all the time for a single organization",Most of the journalists I know are/work freelance.,a freelance artist
freezing,extremely cold,it is freezing It's freezing in here - can I close the window?,They survived for four hours in the freezing water.
freight train,"a train that carries goods, but not passengers, from one place to another",A freight train can haul thousands of tons of goods.,Hundreds of freight trains come down these tracks each day.
French,"the language that people speak in France, parts of Belgium, Switzerland, and Canada, and other countries",French is my first language.,Do you speak French?
frequency,"the number of times something happens within a particular period, or the fact of something happening often or a large number or times",frequency of Complaints about the frequency of buses rose in the last year.,the increasing frequency of terrorist attacks
frequently,often,frequently asked questions,I see him frequently.
frequently updated,,,
Friday,the day of the week after Thursday and before Saturday,on Friday Shall we go to the theatre on Friday?,on Fridays I leave work early on Fridays (= every Friday).
fruit,the soft part containing seeds that is produced by a plant. Many types of fruit are sweet and can be eaten,Apricots are the one fruit I don't like.,"Oranges, apples, pears, and bananas are all types of fruit."
fruitless,"If an action or attempt to do something is fruitless, it is unsuccessful or produces nothing of value",All diplomatic attempts at a peaceful solution to the crisis have been fruitless.,"After months of fruitless negotiations with team owners, the city withdrew its offer to build a new stadium."
fulfillment,US spelling of,,
fulfilmen,Workaholics can only find fulfillment in their work.,Morales said that owning his own home was the fulfillment of a dream.,
full-time,the end of a sports match,The score was 2–2 at full time.,Wilson headed in the equaliser just before the full-time whistle.
full-time,the end of a sports match,The score was 2–2 at full time.,Wilson headed in the equaliser just before the full-time whistle.
fund-raising event,,,
fungus,any of various types of organisms that get their food from decaying material or other living things,Mushrooms and mould are fungi.,Fungus can be poisonous.
fur,"the thick hair that covers the bodies of some animals, or the hair-covered skin(s) of animals, removed from their bodies",She stroked the rabbit's soft fur.,"fake fur ""Is that real fur on your collar?"" ""Certainly not - I only wear fake fur."""
gadget,a small device or machine with a particular purpose,kitchen gadgets,Have you seen this handy little gadget - it's for separating egg yolks from whites.
garden,"a piece of land next to and belonging to a house, where flowers and other plants are grown, and often containing an area of grass",garden tools/furniture,a garden shed
gardening,"the job or activity of working in a garden, growing and taking care of the plants, and keeping it attractive",My mother has always enjoyed gardening.,gardening gloves
gender,"a group of people in a society who share particular qualities or ways of behaving which that society associates with being male, female, or another identity",I think all genders are able to care for children equally.,gender stereotype Those old films are full of racial and gender stereotypes.
genuinely,really and sincerely,I'm genuinely sorry for what I said.,She was genuinely pleased when he arrived.
genus,"a group of animals or plants, more closely related than a family, but less similar than a specie",,
geography,"the study of the systems and processes involved in the world's weather, mountains, seas, lakes, etc. and of the ways in which countries and people organize life within an are",the geography of Australia,a geographic region
German,"the language of Germany, Austria, and parts of Switzerlan",We have a group of Germans staying at the hotel.,
Germany,a country in central Europ,,
getway,,,
give a talk,,,
glass,"a hard, transparent material, used to make windows, bottles, and other objects",coloured/broken glass,a glass jar/dish/ornament
glasshouse,a large building with glass sides and roof for growing plants i,,
glittering,"exciting or admired by many people, usually relating to rich and famous people",a glittering career,The Cannes Film Festival is one of the most glittering occasions in the movie world.
global warming,a gradual increase in world temperatures caused by gases such as carbon dioxide that are collecting in the air around the earth and stopping heat escaping into spac,Reversing the effects of global warming may be the greatest challenge of our time.,"Fossil fuels, such as coal and gas, produce greenhouse gases and contribute to global warming."
gloomy,unhappy and without hope,a gloomy person/expression,The cemetery is a gloomy place.
glue,"a sticky substance that is used for joining things together permanently, produced from animal bones and skins or by a chemical proces",Is it worth trying to glue this plate back together?,glue something on I've nearly finished making my plane - I just have to glue the wings on.
gold,"a chemical element that is a valuable, shiny, yellow metal used to make coins and jewellery",Investment in gold was down 29 percent.,made of gold He gave me a beautiful carved pendant made of gold.
golf,"a game played outside on grass in which each player tries to hit a small ball into a series of nine or 18 small holes, using a long, thin stick",round of golf We often play a round (= game) of golf at the weekend.,He golfs and runs and works out at the gym.
gondola,"a narrow boat with a raised point at both ends, used on canals in Venic",The gondolas seat 12 skiers and move at 14 miles per hour.,
goods train,"a train that carries goods, but not passengers, from one place to another","A goods train went by, shaking the ground.",Two goods trains involved in a crash were said to be carrying oil and liquefied petroleum gas.
government,the group of people who officially control a country,the government of Israel,The government is/are expected to announce its/their tax proposals today.
grace period,extra time you are given to pay money you owe without losing something or paying an additional amount,You have a ten-day grace period in which to pay your insurance premium.,You have a 10-day grace period in which to pay your insurance premium.
graphics,pictures shown on a computer screen,The storyline of the game was great but the graphics were very disappointing.,There is good detail in both text and graphics.
Greece,a country in southeastern Europ,,
Greek,"to put symbols or text that does not mean anything in the place of actual text in a document, on a page, etc., to show what the general design looks like or because the real text is not yet available",I've intentionally greeked the text so that I can give you an idea of what the graph looks like without revealing the details.,"This tool simplifies the display, as well as greeking small text to show as grey bands."
green,of a colour between blue and yellow; of the colour of grass,green vegetables,green politics/issues
green pepper,"a shiny, green vegetable with a hollow centre. Green peppers can be eaten uncooked or cooked",,
greenhouse effect,"an increase in the amount of carbon dioxide and other gases in the atmosphere (= mixture of gases around the earth), that is believed to be the cause of a gradual warming of the surface of the eart",They claim that the floods are a result of the greenhouse effect.,"As it rots, it releases carbon dioxide and methane, contributing to the greenhouse effect."
grey,"of the colour that is a mixture of black and white, the colour of rain clouds",a grey sky,go grey He started to go grey in his mid-forties.
ground floor,the floor of a building that is at the same level as the ground outside,My office is on the ground floor.,a ground-floor office
group discussion,,,
grumpy,easily annoyed and complaining,I hadn't had enough sleep and was feeling kind of grumpy.,a grumpy old man
guarantee,"a promise that something will be done or will happen, especially a written promise by a company to repair or change a product that develops a fault within a particular period of time",The system costs £99.95 including shipping and handling and a twelve-month guarantee.,come with a guarantee The TV comes with a two-year guarantee.
guard,"a person or group of people whose job is to protect a person, place, or thing from danger or attack, or to prevent a person such as a criminal from escaping",security guards,post a guard There are guards posted (= standing and watching) at every entrance.
guest,"a person who is staying with you, or a person you have invited to a social occasion, such as a party or a meal",Over 150 guests were invited to the wedding.,We have guests staying this weekend.
guidelines,information intended to advise people on how something should be done or what something should be,issue a guideline The EU has issued guidelines on appropriate levels of pay for part-time manual workers.,The article gives guidelines on how to invest your money safely.
guilty,"feeling worried or unhappy because you have done something wrong, such as causing harm to another person",feel guilty I feel guilty because I should have said something.,guilty about I feel so guilty about forgetting her birthday.
gym,"a place or club where you can go to exercise using machines, weights, and other equipment",I go to the gym twice a week.,You should join a gym.
gymnasium,"a large room with equipment for exercising the body and increasing strength, or space for playing sport, especially in a school",The dance classes were held in a high school gymnasium .,The top floor contains a gymnasium and basketball court.
hallway,a,,
hal,,,
handout,a document given to students or reporters that contains information about a particular subject,On page two of your handout you will find a list of the books that I have referred to during the lecture.,government handout I'm not interested in government handouts - all I want is a job.
hang-gliding,"the activity of flying through the air by hanging from a very small aircraft without an engine, consisting of a frame covered in cloth",She's taken up hang gliding.,It was with Laura that she had first tried hang gliding.
harassed,"worried, annoyed, and tired, especially because you have too many things to deal with",harassed-looking mothers with young children,
height,"the distance from the top to the bottom of something, or the quality of being tall",The sheer height of New York's skyscrapers is so impressive.,She's about average height (= neither short nor tall).
helicopter,"a type of aircraft without wings, that has one or two sets of large blades that go round very fast on top. It can land and take off vertically and can stay in one place in the air",by helicopter The injured were ferried to hospital by helicopter.,a helicopter pilot
helmet,"a strong, hard hat that covers and protects the head",a crash helmet,a bicycle helmet
henceforth,starting from this time,"Henceforth, the said building shall be the property of Brendan Duggan.","Henceforth, attendance will be taken in all classes."
hesitate,"to pause before you do or say something, often because you are uncertain or nervous about it",She hesitated slightly before answering the detective's question.,"Do you love me? she asked. He hesitated and then said, ""I'm not sure."""
hesitations,"the act of pausing before doing something, especially because you are nervous or not certain","After a slight hesitation, she began to speak.",Any hesitation on the part of the government will be seen as weakness.
hierarchy,a system in which people or things are arranged according to their importance,social hierarchy Some monkeys have a very complex social hierarchy.,political hierarchy He rose quickly through the political hierarchy to become party leader.
higher education,education at a college or university where subjects are studied at an advanced leve,,
hill,an area of land that is higher than the surrounding land,Hills are not as high as mountains.,Their house is on the top of a hill.
Hindi,"one of the official languages of India, spoken especially in northern Indi",,
hire a car,,,
history,"(the study of or a record of) past events considered together, especially events of a particular period, country, or subject",I studied modern European history at college.,American history
hockey,"a game played on a sports field between two teams of eleven players who each have a curved stick with which they try to put a small, hard ball into the other team's goa",,
home stay,"to stay in your house, apartment, etc. rather than going out",I went out for a walk and then stayed at home for the rest of the day.,"Avoid close contact with people who are sick, and if you feel ill, stay home."
horse racing,"a sport in which people race on horses, usually to win money for the horses' owner",,
hospital,a place where people who are ill or injured are treated and taken care of by doctors and nurses,a general/children's/maternity hospital,hospital patients/staff
hostel,a large house where people can stay free or cheaply,a student hostel,We stayed in a lovely hostel just off the main square.
hot,having a high temperature,"a hot, sunny day",hot weather
hot-air balloon,"an aircraft consisting of a very large bag filled with heated air or other gas, with a basket (= container) hanging under it in which people can rid",,
houseboat,"a boat that people use as their home, often kept in one place on a river or cana",,
hovercraft,a vehicle that travels quickly just above the surface of water or land by producing a current of air under it to support i,,
humanities,"the study of subjects such as literature, language, history, and philosophy",I've always been more interested in the humanities than the sciences.,She studied humanities at Yale.
humid,(of air and weather conditions) containing extremely small drops of water in the air,New York is very hot and humid in the summer.,a hot and humid climate
hunt,"to chase and try to catch and kill an animal or bird for food, sport, or profit",Some animals hunt at night.,"hunt for When lion cubs are young, the mother stays with them while the father hunts for food."
hurricane,"a violent wind that has a circular movement, especially in the West Atlantic Ocean",hit by a hurricane The state of Florida was hit by a hurricane that did serious damage.,hurricane force Hurricane force (= very strong) winds are expected tonight.
hut,"a small, simple building, usually consisting of one room",a mountain hut,a row of beach huts
hydroelectric power,,,
hydrofoil,a large boat that is able to travel quickly above the surface of the water on wing-like structure,,
hygiene,"the degree to which people keep themselves or their environment clean, especially to prevent disease",Poor standards of hygiene mean that the disease spreads fast.,health and hygiene regulations
ice skating,a special shoe with a thin metal bar attached to the bottom that you wear to move quickly on ic,Vivian loves to ice-skate.,
idioms,a group of words in a fixed order that has a particular meaning that is different from the meanings of each word on its own,"To ""bite off more than you can chew"" is an idiom that means you have tried to do something which is too difficult for you.","There are many possible ways to translate the German idiom ""alles klar""."
illiteracy,a lack of the ability to read and write,"In the rural areas, illiteracy is widespread.",Teachers and other professionals are taking part in a campaign to eradicate illiteracy.
illustrate,"to draw pictures for a book, magazine, etc.",a beautifully illustrated book/old manuscript,illustrate something with something The lecturer illustrated his point with a diagram on the blackboard.
immense,extremely large in size or degree,immense wealth/value,immense amount They spent an immense amount of time getting the engine into perfect condition.
Immense,extremely large in size or degree,immense wealth/value,immense amount They spent an immense amount of time getting the engine into perfect condition.
immigrate,to come to live in a different country,He immigrated with his parents in 1895 and grew up on Long Island.,"immigrate into/to sth His family immigrated to Canada shortly after the war started, and has lived here ever since."
immigration,the act of someone coming to live in a different country,immigration into There are strict limits on immigration into the country.,immigration policy
impact,the force or action of one object hitting another,The impact of the crash reduced the car to a third of its original length.,on impact The bullet explodes on impact (= when it hits another object).
imperial system,,,
impetus,something that encourages a particular activity or makes that activity more energetic or effective,fresh impetus The recent publicity surrounding homelessness has given a fresh impetus to the cause.,Often the impetus for change in education has had to come from outside the school establishment.
implications,an occasion when you seem to suggest something without saying it directly,"[ + that ] From what she said, the implication was that they were splitting up.","by implication She accused the party and, by implication, its leader too."
impressive,"If an object or achievement is impressive, you admire or respect it, usually because it is special, important, or very large",That was an impressive performance from such a young tennis player.,an impressive collection of modern paintings
impugned,past simple and past participle of,,
impug,Are you impugning my competence as a professional designer?,,
in advance,a method of doing business in which a customer must send their payment for goods at the same time as they send their order,Cash in advance is the most secure method because it ensures full payment before shipment of the goods.,
in like manner,,,
income,money that is earned from doing work or received from investments,average income Average incomes have risen by 4.5 percent over the past year.,low income More help is needed for people on low incomes.
